column,question
country,Haýsy ýurtda okaýarsyňyz?
city,Okaýan şäheriňiz?
school,Ýokary okuw jaýynyň ady?
age,Ýaşyňyz?
accommodation,Nirede galýarsyňyz?
rent,Galýan ýeriňiz üçin aýlyk näçe töleýärsiňiz? (usd)
population,Näçe kişi bolup galýarsyňyz?
bill,"Elektrik, gaz we suw?"
communication,Wi-Fi we sim kart?
transport,Transport?
outfit,Egin-eşik we geýinme?
activity,"Güýmenje, dynç alma, sport we beýleki ekstra çykdajylar?"
major,Okaýan ugruňyz?
tuition,Ýyllyk okuw tölegiňiz?
equipment,Okuw kitaplary we beýleki çykdajylar?
country_recom,Okaýan ýurduňyzy nä derejede maslahat berýärsiňiz?
city_recom,Şäheriňizi nä derejede maslahat berýärsiňiz?
school_recom,Okaýan ýokary okuw jaýyňyzy nä derejede maslahat berýärsiňiz?
degree,Okaýan ýa-da iň soňky okan akademiki derejäňiz?
grocery,Iýip-içmek üçin çykdajylar?